Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Aislamiento térmico de poliuretano_PU rigid foam insulation - 44 mm (R2),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,23.10,,,
Aislamiento térmico de poliuretano_PU rigid foam insulation - 55 mm (R2.5),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,28.80,,,
Ángulo aluminio_Aluminium angle extruded,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,32.70,,,
Barra de aluminio_Aluminium bar,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,29.60,,,
Barra de aluminio_Aluminium bar flat - 12 mm × 3mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.90,,,
Barra de aluminio_Aluminium bar flat - 40 mm × 3mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.60,,,
Barra de aluminio_Aluminium bar flat - 100 mm × 6mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,48.20,,,
Barra de aluminio_Aluminium bar round - 16 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,16.20,,,
Barra de aluminio_Aluminium bar round - 50 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,158.00,,,
Barra de aluminio_Aluminium bar round - 150 mm dia.,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1420.00,,,
Panel de aluminio_Aluminium composite panel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,102.00,,,
Aluminio extruido_Aluminium extruded,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,29.40,,,
Aluminio extruido_Aluminium extruded powdercoated,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,33.60,,,
Tubo de aluminio_Aluminium round tube - 25 mm dia.; 3.2 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.40,,,
Tubo de aluminio_Aluminium round tube - 60 mm dia.; 10 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,71.50,,,
Tubo de aluminio_Aluminium round tube - 80 mm dia.; 6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,57.80,,,
Hoja de aluminio_Aluminium sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,26.70,,,
Hoja de aluminio_Aluminium sheet - 1.6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,116.00,,,
Hoja de aluminio_Aluminium sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,217.00,,,
Hoja de aluminio_Aluminium sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,434.00,,,
Tubo de aluminio cuadrado_Aluminium square tube - 20 × 20 mm; 1.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.90,,,
Tubo de aluminio cuadrado_Aluminium square tube - 40 × 40 mm; 2 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,12.40,,,
Tubo de aluminio cuadrado_Aluminium square tube - 100 × 100 mm; 3 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,47.10,,,
Tubo de cobre_Copper pipe,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,10.10,,,
Tubo de cobre_Copper pipe - 12.7 mm outer dia.; 0.91 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.00,,,
Tubo de cobre_Copper pipe - 19.05 mm outer dia.; 1.02 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.20,,,
Tubo de cobre_Copper pipe - 40 mm outer dia.; 1.22 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.40,,,
Lámina de cobre_Copper sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,15.10,,,
Lámina de cobre_Copper sheet - 0.9 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,121.00,,,
