Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.02,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.94,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Acidificación,PA,kg SO2 eq,0.01,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Eutrofización,PE,kg PO4 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de aislamiento térmico marca ROLAN,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.0000776,0.0000223,0.00000816
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,8466.00,8174,177,115
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,451.00,338,12,101
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000533,0.00000195,0.000000828
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.06,0.0493,0.00297,0.0035
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,4.40,4.26,0.0662,0.0712
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.25,0.214,0.0152,0.0237
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,144.00,9,1,134
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000221,0.000081,0.000128
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,21389.00,15997,734,4658
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1089.00,548,53,488
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000119,0.00000769,0.0000394
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.83,0.71,0.02,0.1
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,8.78,7.23,0.39,1.16
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Eutrofización,PE,kg PO4 eq,0.64,0.34,0.09,0.21
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de escasez de agua,EA,m3 eq,28.10,9.2,3.6,15.3
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.30,0.303,0.000167,0.000176
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,27335.00,19142,1611,6582
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1729.00,1041,114,574
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00014,0.0000172,0.0000493
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.78,0.62,0.03,0.13
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Acidificación,PA,kg SO2 eq,12.30,8.3,0.8,3.2
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Eutrofización,PE,kg PO4 eq,2.19,1.25,0.21,0.73
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de escasez de agua,EA,m3 eq,1122.00,257,8,857
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Human toxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 1.5"" y 2.5"" marca TERNIUM",Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 3"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.22,0.215,0.000315,0.00014
"Losacero 3"" marca TERNIUM",Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,27657.00,19052,2371,6234
"Losacero 3"" marca TERNIUM",Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1721.00,991,162,568
"Losacero 3"" marca TERNIUM",Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000142,0.0000258,0.0000556
"Losacero 3"" marca TERNIUM",Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.70,0.57,0.04,0.09
"Losacero 3"" marca TERNIUM",Potencial de Acidificación,PA,kg SO2 eq,11.50,7.5,1,3
"Losacero 3"" marca TERNIUM",Potencial de Eutrofización,PE,kg PO4 eq,1.92,0.98,0.25,0.69
"Losacero 3"" marca TERNIUM",Potencial de escasez de agua,EA,m3 eq,775.00,36,11,728
"Losacero 3"" marca TERNIUM",Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
"Losacero 3"" marca TERNIUM",Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
"Losacero 3"" marca TERNIUM",Human toxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 3"" marca TERNIUM",Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
"Losacero 3"" marca TERNIUM",Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
"Losacero 3"" marca TERNIUM",Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.000219,0.000127,0.0000176
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,10467.00,8737,1105,625
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,601.00,358,70,173
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000621,0.0000125,0.00000429
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.62,0.456,0.0195,0.14
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Acidificación,PA,kg SO2 eq,5.48,4.23,0.527,0.724
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Eutrofización,PE,kg PO4 eq,0.46,0.273,0.0856,0.1
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de escasez de agua,EA,m3 eq,17.60,9.9,4.7,3
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Alambrón de acero fabricado con material de desecho marca TYASA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00022,0.000127,0.0000176
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,10505.00,8765,1112,628
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,605.00,359,71,175
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000624,0.0000126,0.0000043
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.62,0.455,0.0196,0.142
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Acidificación,PA,kg SO2 eq,5.35,4.23,0.531,0.587
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Eutrofización,PE,kg PO4 eq,0.43,0.275,0.0861,0.0641
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de escasez de agua,EA,m3 eq,17.70,10,4.7,3
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TYASA,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.03,0.03,0.00001,0.00001
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,2353.40,2101,81.4,171
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,219.99,183,5.29,31.7
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000175,0.00000093,0.0000014
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Acidificación,PA,kg SO2 eq,1.24,1.08,0.05,0.11
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Eutrofización,PE,kg PO4 eq,0.53,0.51,0.01,0.01
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.18,0.17,0.0019,0.01
Puerta de seguridad multipropósito marca ASTRUMEX,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad multipropósito marca ASTRUMEX,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.02,0.02,0.000017,0.00001
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,2643.00,2330,142,171
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,237.95,197,9.25,31.7
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000016,0.0000016,0.0000014
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Acidificación,PA,kg SO2 eq,1.32,1.11,0.1,0.11
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Eutrofización,PE,kg PO4 eq,0.53,0.51,0.01,0.01
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.18,0.17,0.0035,0.01
Puerta de seguridad contra incendios marca ASTRUMEX,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,2643.00,2330,142,171
Puerta de seguridad contra incendios marca ASTRUMEX,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Puerta de seguridad contra incendios marca ASTRUMEX,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00195,0.000157,6.93E-12
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,20194.00,17007,3187,0.0000198
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1991.00,1829,162,0.0000013
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000144,0.0000295,2.24E-13
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Acidificación,PA,kg SO2 eq,11.16,9.81,1.35,4.86E-09
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Eutrofización,PE,kg PO4 eq,1.42,1.18,0.24,0.00148
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de escasez de agua,EA,m3 eq,26.20,16,10.2,0.00011
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",1.05,0.99,0.06,2.26E-10
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00275,0.000261,1.24E-11
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,27215.00,21671,5544,0.0000355
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3091.00,2810,281,0.00000228
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.000203,0.0000509,4.01E-13
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Acidificación,PA,kg SO2 eq,14.49,12.1,2.39,8.71E-09
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Eutrofización,PE,kg PO4 eq,2.15,1.73,0.42,0.00266
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de escasez de agua,EA,m3 eq,37.80,20.3,17.5,0.00022
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",1.23,1.12,0.11,4.05E-10
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00484,0.00000707,0.00000218
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,1140.00,1020,47.9,72.1
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,74.89,68.1,3.09,3.7
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,26.90,26.9,0.000000543,0.000000143
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.03,0.0279,0.001,0.00128
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Acidificación,PA,kg SO2 eq,0.38,0.331,0.0291,0.0199
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Eutrofización,PE,kg PO4 eq,0.15,0.142,0.00451,0.00341
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00484,0.00000707,0.00000218
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,1140.00,1020,47.9,72.1
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,74.89,68.1,3.09,3.7
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,26.90,26.9,0.000000543,0.000000143
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.03,0.0279,0.001,0.00128
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Acidificación,PA,kg SO2 eq,0.38,0.331,0.0291,0.0199
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Eutrofización,PE,kg PO4 eq,0.15,0.142,0.00451,0.00341
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para cubierta METCOPPO marca METENCO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00433,0.00000707,0.00000152
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,850.40,709,47.9,93.5
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,57.15,49.9,3.09,4.16
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00000188,0.000000543,0.000000132
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.02,0.022,0.001,0.00135
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Acidificación,PA,kg SO2 eq,0.29,0.243,0.0291,0.0197
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Eutrofización,PE,kg PO4 eq,0.12,0.116,0.00451,0.00366
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel metálico para muros HWALL marca METENCO,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.00433,0.00000707,0.00000152
Panel metálico para muros HWALL marca METENCO,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,850.40,709,47.9,93.5
Panel metálico para muros HWALL marca METENCO,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,57.15,49.9,3.09,4.16
Panel metálico para muros HWALL marca METENCO,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.00000188,0.000000543,0.000000132
